428563	Calidris falcinellus sibirica	寬嘴鷸
380216	Calidris ferruginea	彎嘴濱鷸
404557	Calidris himantopus	高蹺濱鷸
380217	Calidris mauri	西濱鷸
404558	Calidris melanotos	美洲尖尾濱鷸
380218	Calidris minuta	小濱鷸
428562	Calidris pugnax	流蘇鷸
428564	Calidris pygmea	琵嘴鷸
380219	Calidris ruficollis	紅胸濱鷸
380220	Calidris subminuta	長趾濱鷸
428565	Calidris subruficollis	黃胸鷸
380221	Calidris temminckii	丹氏濱鷸
380222	Calidris tenuirostris	大濱鷸
425338	Calliope calliope calliope	野鴝(指名亞種)
425210	Calliope calliope camtschatkensis	野鴝(勘察加亞種)
380200	Calonectris leucomelas	大水薙鳥
380495	Caprimulgus affinis stictomus	南亞夜鷹
430650	Caprimulgus jotaka jotaka	普通夜鷹
404559	Carpodacus erythrinus grebnitskii	普通朱雀
425192	Carpodacus formosanus	臺灣朱雀
428604	Carpodacus roseus roseus	北朱雀
404560	Cecropis daurica japonica	金腰燕
404561	Cecropis striolata striolata	赤腰燕
380278	Centropus bengalensis lignator	番鵑
419639	Centropus sinensis	褐翅鴉鵑
419641	Ceryle rudis	斑翡翠
404563	Ceyx erithaca motleyi	三趾翠鳥
380261	Chalcophaps indica indica	翠翼鳩
380138	Charadrius alexandrinus dealbatus	東方環頸鴴
380139	Charadrius dubius curonicus	小環頸鴴
380140	Charadrius hiaticula tundrae	北環頸鴴
380141	Charadrius leschenaultii leschenaultii	鐵嘴鴴
380142	Charadrius mongolus mongolus	蒙古鴴
420280	Charadrius mongolus stegmanni	蒙古鴴
380143	Charadrius placidus	長嘴鴴
380144	Charadrius veredus	東方紅胸鴴
404564	Chlidonias hybrida hybrida	黑腹浮鷗
380167	Chlidonias leucopterus	白翅黑浮鷗
380168	Chlidonias niger niger	黑浮鷗
425191	Chloris sinica kawarahiba	金翅雀
419701	Chroicocephalus brunnicephalus	棕頭鷗
428567	Chroicocephalus genei	細嘴鷗
424967	Chroicocephalus novaehollandiae	澳洲紅嘴鷗
419699	Chroicocephalus ridibundus	紅嘴鷗
404565	Ciconia boyciana	東方白鸛
380153	Ciconia nigra	黑鸛
419688	Cinclidium leucurum montium	白尾鴝
380311	Cinclus pallasii pallasii	河烏
428601	Cinnyris jugularis rhizophorae	黃腹花蜜鳥
380108	Circus cyaneus cyaneus	灰鷂
380109	Circus melanoleucos	鵲鷂
380110	Circus spilonotus spilonotus	東方澤鷂
380312	Cisticola exilis volitans	黃頭扇尾鶯
380313	Cisticola juncidis tinnabulans	棕扇尾鶯
380279	Clamator coromandus	冠郭公
428570	Clamator jacobinus pica	斑翅鳳頭鵑
427287	Clanga clanga	花雕
428561	Clangula hyemalis	長尾鴨
380341	Coccothraustes coccothraustes japonicus	錫嘴雀
